bn,hi,te
আমার কাছে বেশ মজার একটা ফোন এসেছে।,एक बड़ा कमाल का मुझे phone call आया है।,నాకు చాలా అద్భుతమైన ఫోన్ కాల్ వచ్చింది.
ভদ্রলোক নিজের নাম বলতে চাননি।,वे सज्जन अपना नाम बताना नहीं चाहते हैं।,ఆ పెద్దమనిషి తన పేరు వెల్లడించడానికి ఇష్టపడడు.
"ফোনটার বিবরণ শুনলে আপনারা বুঝতে পারবেন, ওইব্যক্তি কেন নিজের নাম প্রকাশ করতে চাইছেন না।",phone सुन कर के आपको पता चलेगा कि वो अपना नाम क्यों नहीं बताना चाहते हैं?,అతను తన పేరును ఎందుకు వెల్లడించకూడదో ఫోన్ కాల్ విన్న తర్వాత మీకే తెలుస్తుంది?
"“নমস্কার,প্রধানমন্ত্রীজী, আমি আমার শৈশবে এমন কিছু কাজ করেছিলাম যে আমি আমার নাম বলতেপারছি না।","नमस्कार, प्रधानमंत्री जी, मैं अपना नाम तो नहीं बता सकता, क्योंकि मैंने काम ही कुछ ऐसा किया था अपने बचपन में।","హలో ప్రైమ్ మినిస్టర్, నేను నా చిన్నతనంలో ఇలాంటిదే చేశాను కాబట్టి నా పేరు మీకు చెప్పలేను."
ওইসময়টা আমি পড়াশোনার জন্য ব্যয় করলে একই নম্বর পেতে পারতাম।,"उस time में मैं पढ़ करके भी उतने ही नंबर ला सकता था, जितना मैंने नक़ल करने के लिए दिमाग लगाने में ख़र्च किया।",ఆ టైమ్‌లో నేను నా మెదడును మోసం చేయడానికి ఎంత శ్రమ పడ్డానో చదువుకుని అదే మార్కులు సాధించగలిగాను.
"আমি যখন নকল করে পাশকরার চেষ্টা করেছিলাম, তখন ধরা পড়ে যাই আর আমার জন্য আমার আশেপাশের অনেক বন্ধুদেরওবেশ অসুবিধা হয়েছিল।","और जब मैंने नक़ल करके पास होने की कोशिश की, तो मैं उसमें पकड़ा भी गया और मेरी वजह से मेरे आस-पास के कई दोस्तों को काफ़ी परेशानी हुई।","మరియు నేను మోసం చేసి పరీక్షలో ఉత్తీర్ణత సాధించడానికి ప్రయత్నించినప్పుడు, నేను పట్టుబడ్డాను మరియు నా కారణంగా చాలా మంది నా స్నేహితులు చాలా ఇబ్బందులను ఎదుర్కోవలసి వచ్చింది."
আমি আপনাদের সেইকথাটাই আবার বলছি।,मैं भी आपको वही बात दोबारा कह रहा हू।,మీకు మళ్ళీ అదే చెబుతున్నాను.
"সব্বার এই মত পছন্দ হবে কিনা জানি না, কিন্তু আমি আমারবিশ্বাসের কথা জানালাম।","सबको ये पसंद है कि नहीं, मुझे मालूम नहीं, लेकिन मेरा तो अनुभव है।","అందరికీ నచ్చుతుందో లేదో నాకు తెలియదు, కానీ ఇది నా అనుభవం."
একবার একজন লোকসংগীত গায়ক আমারসঙ্গে দেখা করতে এসেছিলেন।,तो मुझे एक लोक गायक मिलने आए।,అలా ఒక జానపద గాయకుడు నన్ను కలవడానికి వచ్చాడు.
তিনি আমায় জিজ্ঞেস করেছিলেন কতক্ষণ ঘুমোন আপনি?,उन्होंने मुझे आकर के पूछा - आप कितने घंटे सोते हैं।,అతను వచ్చి నన్ను అడిగాడు - మీరు ఎన్ని గంటలు నిద్రపోతారు?
"আমিজানতে চাইলাম, ভাই আপনি কি ডাক্তার?","मैंने कहा - क्यों भाई, आप डॉक्टर हैं क्या?","నేను అన్నాను – ఎందుకు అన్నయ్యా, నువ్వు డాక్టర్వా?"
"তিনি বললেন, আরে না-না, আপনি বলুনই না, এই যেবক্তৃতা দিতে দিতে আপনার গলা বসে যায় তার সঙ্গে এর সম্পর্ক রয়েছে।","नहीं-नहीं, बोले - ये आपका आवाज़ जो चुनाव के समय भाषण करते-करते ख़राब हो जाता है, उसका इसके साथ संबंध है।",కాదు-కాదు - ఎన్నికల సమయంలో ప్రసంగాలు చేస్తున్నప్పుడు పాడయ్యే మీ గొంతు దీనికి సంబంధించినది.
আপনি ঠিকঠাকঘুমোলে আপনার ভোকাল কর্ডও বিশ্রাম পাবে।,"आप पूरी नींद लेंगे, तभी आपके vocal cord को पूरा rest मिलेगा।","మీరు సరైన నిద్రను పొందాలి, అప్పుడే మీ స్వర తంతువులు పూర్తి విశ్రాంతిని పొందుతాయి."
এর আগে আমি আমার ঘুম ও গলার স্বর নিয়েকক্ষনো ভাবিনি।,"अब मैंने नींद को और मेरे भाषण को और मेरी आवाज़ को कभी सोचा ही नहीं था, उन्होंने मुझे एक जड़ी-बूटी दे दी।","ఇప్పుడు నేను నిద్ర మరియు నా ప్రసంగం మరియు నా స్వరం గురించి ఎప్పుడూ ఆలోచించలేదు, వారు నాకు ఒక మూలికను ఇచ్చారు."
ভুলেও এমনটা করবেন না। তাতে আপনারঅভিভাবকেরা আমার ওপর অসন্তুষ্ট হবেন।,"तो ऐसा मत करना, वरना आपके परिवार के लोग मेरे से नाराज़ हो जाएगे।","అందుకే ఇలా చేయకండి, లేకపోతే మీ కుటుంబ సభ్యులు నాపై కోపం తెచ్చుకుంటారు."
তা নাহলে যেদিন মার্কশিট আসবে তাতে অভিভাবকরাআপনাদের বদলে আমার প্রতিচ্ছবিই দেখতে পাবেন।,"और आपकी अगर marks-sheet जिस दिन आएगी, तो उनको आप नहीं दिखाई दोगे, मैं ही दिखाई दूगा।","మరియు మీ మార్కుల షీట్ వచ్చిన రోజు, వారు మిమ్మల్ని చూడరు, వారు నన్ను చూస్తారు."
এই মন্ত্র নিয়ে এগিয়ে চলুন।,इस मंत्र को ले करके आगे बढ़ें।,ఈ మంత్రంతో ముందుకు సాగండి.
এই উপলক্ষে কোস্ট গার্ড বাহিনীর প্রত্যেক কর্মী ও সেনাদের তাঁদের দেশেরপ্রতি কর্তব্য পালনের জন্য অভিনন্দন ও ধন্যবাদ জানাচ্ছি।,इस अवसर पर मैं oast Guard के सभी अधिकारियों एवं जवानों को राष्ट्र के प्रति उनकी सेवा के लिये धन्यवाद देता हू।,"ఈ సందర్భంగా కోస్ట్‌గార్డ్‌ అధికారులు, సైనికులు దేశానికి చేస్తున్న సేవలకు ధన్యవాదాలు తెలియజేస్తున్నాను."
আমাদের কোস্ট গার্ডবাহিনী আমাদের স্বদেশে নির্মিত ১২৬টি যুদ্ধজাহাজ ও ৬২ টি বিমান সহযোগে বিশ্বেরপ্রথম চার শ্রেষ্ঠ কোস্ট গার্ড বাহিনীর মধ্যে নিজেদের গর্বিত স্থান অর্জন করেছে।,ये गर्व की बात है कि oast Guard देश में निर्मित अपने सभी 126 ships और 62 aircrats के साथ विश्व के 4 सबसे बड़े oast Guard के बीच अपना स्थान बनाए हुए है।,కోస్ట్ గార్డ్ ప్రపంచంలోని 4 అతిపెద్ద కోస్ట్ గార్డ్స్‌లో తన 126 నౌకలు మరియు 62 విమానాలతో స్వదేశీంగా నిర్మించబడటం గర్వించదగ్గ విషయం.
কোস্ট গার্ডবাহিনীর মন্ত্র ‘অয়ম্‌ রক্‌শাম্‌’ – এই অঙ্গীকারকে মনে রেখে দেশের সমুদ্র সীমা ওসামুদ্রিক অঞ্চলকে সুরক্ষিত রাখতে আমাদের কোস্ট গার্ড বাহিনী সবরকম প্রতিকূলতারমধ্যেই সারাক্ষণ তৎপর রয়েছে।,"अपने इस आदर्श वाक्य को चरितार्थ करते हुए, देश की समुद्री सीमाओं और समुद्री परिवेश को सुरक्षित करने के लिये oast Guard के जवान प्रतिकूल परिस्थितियों में भी दिन-रात तत्पर रहते हैं।","ఈ నినాదానికి అనుగుణంగా, కోస్ట్ గార్డ్ సిబ్బంది దేశం యొక్క సముద్ర సరిహద్దులు మరియు సముద్ర పర్యావరణాన్ని కాపాడటానికి ప్రతికూల పరిస్థితుల్లో కూడా పగలు మరియు రాత్రి సిద్ధంగా ఉంటారు."
"কোস্ট গার্ড-এ আমাদের মহিলা পাইলট অফিসার রয়েছেন,এমনকি হোভারক্র্যাফ্‌ট-এর কামান সামলাতেও তাঁরা পারদর্শী।","oast Guard की हमारी महिला अफ़सर Pilot हों, bservers के रूप में काम हों, इतना ही नहीं, overcrat की कमान भी संभालती हैं।","కోస్ట్ గార్డ్‌లోని మా మహిళా అధికారులు పైలట్‌లు కావచ్చు, పరిశీలకులుగా పని చేయవచ్చు మరియు ఇది మాత్రమే కాదు, వారు ఓవర్‌క్రాట్‌ల కమాండ్‌ను కూడా నిర్వహిస్తారు."
"শুধুই বিদ্যার্চনা নয়, বীরত্বের অনুপ্রেরণার উৎসবও বটে।","इतना ही नहीं, वीरों के लिए प्रेरणा का भी पर्व होता है।",అంతే కాదు హీరోలకు స్ఫూర్తిదాయకమైన పండుగ కూడా.
‘মেরে রঙ দেবাসন্তী চোলা’ – এটাই তো সেই অনুপ্রেরণা।,मेरा रंग दे बसंती चोला - ये वही तो प्रेरणा है।,మేరా రంగ్ దే బసంతి చోళ - ఇది చాలా స్ఫూర్తి.
এই বসন্ত-পঞ্চমী উদ্‌যাপনের পরিসরেদেশবাসীকে আমার আন্তরিক শুভেচ্ছা জানাই।,इस वसन्त पंचमी के पावन त्योहार पर मेरी देशवासियों को बहुत-बहुत शुभकामनायें हैं।,ఈ పవిత్రమైన వసంత పంచమి పండుగ సందర్భంగా నా దేశప్రజలకు నా శుభాకాంక్షలు.
"আমার প্রিয়দেশবাসী, ‘মন কি বাত’ কার্যক্রমকে আকাশবাণী আরও অনেক বর্ণময় ভাবনাচিন্তায় ভরিয়ে তুলেছে।","मेरे प्यारे देशवासियो, मन की बात में आकाशवाणी भी अपनी कल्पकता के साथ हमेशा नये रंग-रूप भरता रहता है।","నా ప్రియమైన దేశప్రజలారా, ఆకాశవాణి తన ఊహతో మన్ కీ బాత్‌కు ఎల్లప్పుడూ కొత్త రంగులు మరియు రూపాలను జోడిస్తుంది."
গত মাসে আমার ‘মন কি বাত’ ভাষণের অব্যবহিত পরে আঞ্চলিক ভাষায় ‘মন কি বাত’ শোনানোশুরু করেছে।,पिछले महीने से उन्होंने मेरी मन की बात पूर्ण होने के तुरंत बाद प्रादेशिक भाषाओं में मन की बात सुनाना शुरू किया है।,గత నెల నుండి అతను మై మన్ కీ బాత్ పూర్తయిన వెంటనే ప్రాంతీయ భాషలలో మన్ కీ బాత్ చదవడం ప్రారంభించాడు.
এই প্রচেষ্টায় বৃহৎ সাফল্য এসেছে।,इसको व्यापक स्वीकृति मिली है।,దీనికి సర్వత్రా ఆదరణ లభించింది.
এই নিয়ে দূর-দূরান্ত থেকে দেশবাসীরাচিঠি লিখেছেন।,दूर-दूर से लोग चिट्ठिया लिख रहे हैं।,దూరప్రాంతాల నుంచి ఉత్తరాలు రాస్తున్నారు.
গত মাসে আমরা সবাই দীপাবলির উৎসবপালন করেছি।,पिछले महीने हम सब दिवाली का आनंद ले रहे थे,గత నెలలో అందరం దీపావళిని ఎంజాయ్ చేస్తున్నాం
"প্রত্যেক বছরের মতো এবারও দীপাবলির সময়, সেনাবাহিনীর সঙ্গে দীপাবলিপালন করতে আমি চীন সীমান্তে গিয়েছিলাম।","हर वर्ष की तरह इस बार दिवाली के मौके पर, मैं फिर एक बार जवानों के साथ दिवाली मनाने के लिये, चीन की सीमा पर, सरहद पर गया था",ప్రతి సంవత్సరం లాగానే ఈసారి కూడా దీపావళి సందర్భంగా మరోసారి చైనా సరిహద్దుల్లో సైనికులతో కలిసి దీపావళి జరుపుకునేందుకు వెళ్లాను.
"প্রতি বছরই আমি সীমান্তে যাই, কিন্তু এবারেরদীপাবলির অভিজ্ঞতা একেবারেই আলাদা।","मैं हर बार जाता हू, लेकिन इस दिवाली का अनुभव कुछ और था","నేను ప్రతిసారీ వెళ్తాను, కానీ ఈ దీపావళి అనుభవం భిన్నంగా ఉంది"
"সেই আবেগে ওঁরা ভরপুর ছিলেন এবং শুধুতাই নয়, দেশবাসী যে শুভেচ্ছাবার্তা পাঠিয়েছেন, নিজেদের খুশির সঙ্গে সেনানীদেরসামিল করেছেন তার এক অদ্ভূত প্রতিক্রিয়া দেখছিলাম।","वो भावनाओं से भरे-भरे दिखते थे और इतना ही नहीं, देशवासियों ने जो शुभकामनायें-सन्देश भेजे, अपनी ख़ुशियों में देश के सुरक्षा बलों को शामिल किया, एक अद्भुत response था","అతను భావోద్వేగాలతో నిండి ఉన్నాడు మరియు అంతే కాదు, వారి ఆనందంలో దేశంలోని భద్రతా దళాలతో సహా దేశప్రజలు పంపిన శుభాకాంక్షలు మరియు సందేశాలకు అద్భుతమైన స్పందన వచ్చింది."
"কিন্তু, সত্যি বলতে কি এবারেদীপাবলি উৎসবের সময় আমাদের তেমনটা মনে হয় নি।","लेकिन सच कहू, इस बार ऐसा नहीं लगा",కానీ నిజం చెప్పాలంటే ఈసారి అలా అనిపించలేదు.
"উল্টে এবারে মনে হচ্ছিল, ১২৫ কোটিভারতবাসীর সঙ্গেই যেন দীপাবলির উৎসবে সামিল হয়েছি।","ऐसा महसूस हुआ मानो हम भी, सवा-सौ करोड़ भारतवासियों के साथ दिवाली मना रहे हैं",మనం కూడా 125 కోట్ల మంది భారతీయులతో కలిసి దీపావళి జరుపుకుంటున్నట్లు అనిపించింది
"প্রিয়দেশবাসী, যে আন্তরিকতা, খুশী, ভালোবাসা ও আনন্দ আমাদের সেনাবাহিনীর জওয়ানদের মধ্যেসঞ্চারিত হয়েছে, একি শুধু হোলি-দীপাবলিতেই সীমাবদ্ধ থাকবে, না থাকা উচিৎ?","मेरे प्यारे देशवासियो, जो अहसास इस दिवाली, इस माहौल में जो अनुभूति, हमारे देश के सुरक्षा बलों के बीच, जवानों के बीच जगा है, क्या ये सिर्फ़ कुछ मौकों पर ही सीमित रहना चाहिये ?","నా ప్రియమైన దేశప్రజలారా, ఈ దీపావళికి, ఈ వాతావరణంలో, మన దేశ భద్రతా బలగాల మధ్య, సైనికుల్లో మేల్కొన్న అనుభూతిని కొన్ని సందర్భాలలో మాత్రమే పరిమితం చేయాలా?"
"আপনাদেরকাছে আমার আবেদন, আসুন, সমাজ হিসেবে, রাষ্ট্র হিসেবে একে স্বভাব ও প্রকৃতির অংশকরে তুলি। যে কোনও পার্বণ বা উৎসবই হোক, যে কোনও আনন্দের সময় আমরা আমাদেরসেনাবাহিনীর জওয়ানদের কোনও না কোনও ভাবে মনে রাখবো।","मेरी आपसे appeal है कि हम, एक समाज के रूप में, राष्ट्र के रूप में, अपना स्वभाव बनाए, हमारी प्रकृति बनाए  कोई भी उत्सव हो, त्योहार हो, खुशी का माहौल हो, हमारे देश के सेना के जवानों को हम किसी-न- किसी रूप में ज़रूर याद करें","ఒక సమాజంగా, దేశంగా మనం మన స్వభావాన్ని, స్వభావాన్ని, వేడుకలు, పండుగలు, సంతోషకరమైన వాతావరణం ఏదైనా సరే, మన దేశ సైనికులను ఏదో ఒక విధంగా గుర్తుంచుకోవాలని నేను మీకు విజ్ఞప్తి చేస్తున్నాను."
"যখন রাষ্ট্র সেনাবাহিনীর সঙ্গেএকাত্ম হয়ে উঠবে, সেনাবাহিনীর শক্তিও ১২৫ কোটি গুণ বেড়ে যাবে।","जब सारा राष्ट्र सेना के साथ खड़ा होता है, तो सेना की ताक़त 125 करोड़ गुना बढ़ जाती है",దేశం మొత్తం సైన్యానికి అండగా నిలిస్తే సైన్యం బలం 125 కోట్ల రెట్లు పెరుగుతుంది
"কিছুদিন আগে,জম্মু ও কাশ্মীরের সব গ্রামের প্রধানরা আমার সঙ্গে দেখা করেছিলেন।","कुछ समय पहले मुझे जम्मू-कश्मीर से, वहा के गाव के सारे प्रधान मिलने आये थे","కొంతకాలం క్రితం, జమ్మూ కాశ్మీర్ నుండి గ్రామ పెద్దలందరూ నన్ను కలవడానికి వచ్చారు."
"ওঁরা গ্রামের বিকাশ ও উন্নয়নের জন্য কিছু দাবিদাওয়া জানাতে এলেও স্বাভাবিকভাবেই আলোচনায় কাশ্মীর উপত্যকার সাম্প্রতিক অবস্থা, আইন-কানুন, বাচ্চাদের ভবিষ্যৎ- এই সব প্রসঙ্গও উঠে এলো।","वे अपने गाव के विकास की कुछ बातें लेकर के आए थे, कुछ मागें लेकर के आए थे, लेकिन जब बात का दौर चल पड़ा, तो स्वाभाविक था, घाटी के हालात, क़ानून व्यवस्था, बच्चों का भविष्य, ये सारी बातें निकलना बड़ा स्वाभाविक था","తమ ఊరి అభివృద్ధి, కొన్ని డిమాండ్లు అంటూ కొన్ని చర్చలతో వచ్చారు కానీ, చర్చ ప్రారంభం కాగానే లోయ పరిస్థితి, శాంతిభద్రతలు, పిల్లల భవిష్యత్తు ఇలా అన్ని అంశాలు తెరపైకి రావడం సహజం."
কিছুদিন আগে কাশ্মীরে বোর্ড এক্‌জাম হয়ে গেল এবংসেখানকার প্রায় ৯৫% ছাত্র-ছাত্রী পরীক্ষায় বসেছেন।,"अभी कुछ दिन पहले जब Board की eam हुई, तो कश्मीर के बेटे और बेटियों ने क़रीब 95, पचानबे फ़ीसदी कश्मीर के छात्र-छात्राओं ने Board की परीक्षा में हिस्सा लिया","కొద్ది రోజుల క్రితం బోర్డు పరీక్షలు జరిగినప్పుడు, కాశ్మీర్‌లోని దాదాపు 95% మంది కుమారులు మరియు కుమార్తెలు, అంటే తొంభై ఐదు శాతం మంది విద్యార్థులు బోర్డ్ పరీక్షల్లో పాల్గొన్నారు."
বোর্ডের পরীক্ষায় এই বিপুলসংখ্যায় ছাত্র-ছাত্রীর অংশগ্রহণে আমি স্পষ্ট আভাস পাচ্ছি যে জম্মু-কাশ্মীরউপত্যকায় আমাদের বাচ্চারা শিক্ষার মাধ্যমে উজ্জ্বল ভবিষ্যতের বিকাশের জন্যদৃঢ়প্রতিজ্ঞ।,"Board की परीक्षाओं में इतनी बड़ी तादाद में छात्रों का सम्मिलित होना, इस बात की ओर इशारा करता है कि जम्मू-कश्मीर के हमारे बच्चे उज्ज्वल भविष्य के लिये, शिक्षा के माध्यम से - विकास की नई ऊचाइयों को पाने के लिये कृतसंकल्प हैं",బోర్డు పరీక్షల్లో ఇంత పెద్ద సంఖ్యలో విద్యార్థులు పాల్గొనడం జమ్మూ కాశ్మీర్‌లోని మన పిల్లలు ఉజ్వల భవిష్యత్తును కలిగి ఉండాలని మరియు విద్య ద్వారా అభివృద్ధిలో కొత్త శిఖరాలను సాధించాలని నిర్ణయించుకున్నారని సూచిస్తుంది.
"ছাত্র-ছাত্রীদের এই অঙ্গীকারের জন্য শুধু ওদের নয়, ওদের অভিভাবক,বাবা-মা, শিক্ষক এবং সর্বোপরি গ্রামপ্রধানদের অনেক অনেক ধন্যবাদ জানাচ্ছি।","उनके इस उत्साह के लिये, मैं छात्रों को तो अभिनन्दन करता हू, लेकिन उनके माता-पिता को, उनके परिजनों को, उनके शिक्षकों को और सभी ग्राम प्रधानों को भी ह्रदय से बहुत-बहुत बधाई देता हू","విద్యార్థుల ఉత్సాహానికి నేను అభినందిస్తున్నాను, కానీ వారి తల్లిదండ్రులు, వారి బంధువులు, వారి ఉపాధ్యాయులు మరియు గ్రామ పెద్దలందరినీ హృదయపూర్వకంగా అభినందిస్తున్నాను."
"আমার প্রিয়ভাই-বোনেরা, যখন আমি এবারের ‘মন কি বাত’ নিয়ে জনসাধারণের আলোচনা প্রস্তাব চেয়েছি,আমি স্বীকার করছি, প্রত্যেকে একটাই প্রস্তাব করেছেন।","प्यारे भाइयो और बहनों, इस बार जब मैंने मन की बात के लिये लोगों के सुझाव मांगे, तो मैं कह सकता हू कि एकतरफ़ा ही सबके सुझाव आए","ప్రియమైన సోదర సోదరీమణులారా, ఈసారి నేను మన్ కీ బాత్ కోసం ప్రజల నుండి సలహాలు కోరినప్పుడు, అందరి సూచనలు ఒక వైపు నుండి మాత్రమే వచ్చాయని నేను చెప్పగలను."
প্রত্যেকেই চেয়েছেন পাঁচশো ওহাজার টাকার নোট নিয়ে আমি বিস্তারিত ভাবে কিছু বলি।,सब कहते थे कि 500- और 1000- वाले नोटों पर और विस्तार से बातें करें,"500, 1000 రూపాయల నోట్ల గురించి మరింత వివరంగా చర్చించాలని అందరూ అన్నారు"
"৮-ই নভেম্বর রাত ৮-টায় আমিদেশের সঠিক উন্নয়নের জন্য, রাষ্ট্রের পক্ষে এক মহা অভিযানের কথা জানিয়েছিলাম।","वैसे 8 नवम्बर, रात 8 बजे राष्ट्र के नाम संबोधन करते हुए, देश में सुधार लाने के एक महाभियान का आरम्भ करने की मैंने चर्चा की थी","అదే విధంగా, నవంబర్ 8న రాత్రి 8 గంటలకు జాతిని ఉద్దేశించి ప్రసంగిస్తున్నప్పుడు, దేశంలో సంస్కరణలు తీసుకురావడానికి ఒక భారీ ప్రచారాన్ని ప్రారంభించడం గురించి నేను మాట్లాడాను."
"যেসময় আমি এই সিদ্ধান্ত নিয়েছিলাম এবং আপনাদের সেই সিদ্ধান্ত জানিয়েছিলাম, স্পষ্টবলেছিলাম, এটা একটা সাধারণ সিদ্ধান্ত নয়, এটা একটা কঠিন পদক্ষেপ।","जिस समय मैंने ये निर्णय किया था, आपके सामने प्रस्तुत रखा था, तब भी मैंने सबके सामने कहा था कि निर्णय सामान्य नहीं है, कठिनाइयों से भरा हुआ है","నేను ఈ నిర్ణయం తీసుకొని మీ ముందు సమర్పించినప్పుడు, అది సాధారణ నిర్ణయం కాదని నేను అందరికీ చెప్పాను; అది కష్టాలతో నిండి ఉంది."
সিদ্ধান্ত ঘোষণার সময়ই আমি সতর্ক করেছিলাম এই প্রস্তাব কার্যকরী করার প্রভাব এতটাইব্যাপক যে তার থেকে বেরোতে অন্ততঃ ৫০ দিন তো লাগবেই। তারপরই আমরা স্বাভাবিকঅবস্থার দিকে এগোতে পারবো।,"और तब भी मैंने कहा था कि निर्णय इतना बड़ा है, इसके प्रभाव में से बाहर निकलने में 50 दिन तो लग ही जाएगे  और तब जाकर के normal अवस्था की ओर हम क़दम बढ़ा पाएगे","మరియు అప్పుడు కూడా నేను నిర్ణయం చాలా పెద్దది, దాని ప్రభావం నుండి బయటపడటానికి కనీసం 50 రోజులు పడుతుందని మరియు అప్పుడు మాత్రమే సాధారణ పరిస్థితికి వెళ్లగలమని చెప్పాను."
"সত্তরটা বছর ধরে যে অসুখ ছড়িয়েছে, তার থেকে সুস্থ হয়েওঠা খুব সহজ ঘটনা নয়।",70 साल से जिस बीमारियों को हम झेल रहे हैं उस बीमारियों से मुक्ति का अभियान सरल नहीं हो सकता है,గత 70 ఏళ్లుగా మనం పడుతున్న రోగాల నుంచి బయటపడతామనే ప్రచారం అంత తేలిక కాదు
১২৫ কোটি ভারতবাসীর নিজের দেশের প্রতি অগাধ শ্রদ্ধা ও পূর্ণ বিশ্বাসআছে যে তাঁরা দেশের উন্নতির জন্য সর্বান্তঃকরণে অঙ্গীকারবদ্ধ।,"भारत को भारत के सवा-सौ करोड़ देशवासियों के प्रति, सिर्फ़ श्रद्धा ही श्रद्धा है, विश्वास ही विश्वास है कि सवा-सौ करोड़ देशवासी संकल्प पूर्ण करके ही रहेंगे",భారతదేశానికి దాని 125 కోట్ల మంది పౌరులపై విశ్వాసం మరియు విశ్వాసం తప్ప మరేమీ లేదు మరియు 125 కోట్ల మంది పౌరులు తమ సంకల్పాన్ని ఖచ్చితంగా నెరవేరుస్తారని పూర్తి విశ్వాసం ఉంది.
এই জন্যই আমরা সাফল্যপাবোই। ব্যাঙ্ক ও ডাকঘরের কর্মীরা কি প্রতিকূলতার মধ্যে কাজ করে চলেছেন।,"और मैंने देखा है कि इतनी कठिनाइयों के बीच बैंक के, पोस्ट ऑफिस के सभी लोग काम कर रहे हैं","మరి ఇన్ని కష్టాలు ఉన్నా బ్యాంకులో, పోస్టాఫీసులో అందరూ పని చేయడం చూశాను."
আর যখনমানবিকতার কথা আসছে ওঁরা যেন আরও সক্রিয় হয়ে উঠছেন।,"और जब मानवता के मुद्दे की बात आ जाए, तो वो दो क़दम आगे दिखाई देते हैं","ఇక మానవత్వానికి సంబంధించిన సమస్యల విషయానికి వస్తే, వారు రెండు అడుగులు ముందుకు వేసినట్లు కనిపిస్తారు"
সেই কথা যখনস্থানীয় ব্যাঙ্ক কর্মচারীদের কানে গেছে তাঁরা সঙ্গে সঙ্গে প্রবীণ ভদ্রলোকের বাড়িতেটাকা পৌঁছে দিয়েছেন।,किसी ने मुझे कहा कि खंडवा में एक बुज़ुर्ग इंसान का accident हो गया,ఖాండ్వాలో ఒక వృద్ధుడు ప్రమాదంలో పడ్డాడని ఎవరో చెప్పారు
"শুধু তাই নয়, তাঁর চিকিৎসার সুব্যবস্থা করেছেন।","वहा स्थानीय बैंक के कर्मचारी के ध्यान में आया और मुझे ये जान करके खुशी हुई कि ख़ुद जाकर के उनके घर, उस बुज़ुर्ग को उन्होंने पैसे पहुचाए, ताकि इलाज़ में मदद हो जाए",ఇది స్థానిక బ్యాంకు ఉద్యోగి దృష్టికి వచ్చింది మరియు అతను స్వయంగా వృద్ధుడి ఇంటికి వెళ్లి అతని చికిత్సకు సహాయం చేయడానికి డబ్బును అందించాడని తెలిసి నేను సంతోషించాను.
আমি এই ঘটনাটিজেনে অভিভূত হয়েছি।,"ऐसे तो अनगिनत किस्से हर दिन टी.वी. में, मीडिया में, अख़बारों में, बातचीत में सामने आते हैं","టీవీల్లో, మీడియాలో, వార్తాపత్రికల్లో, సంభాషణల్లో ఇలాంటి లెక్కలేనన్ని కథనాలు ప్రతిరోజూ వెలుగులోకి వస్తున్నాయి."
ওঁরা নিজেদের কালো টাকা বাঁচাতে বিভিন্নবে-আইনী উপায় নিচ্ছেন।,वो अपने पैसे बचाने के फ़िराक़ में गैर-क़ानूनी रास्ते ढूंढ़ रहे हैं,తమ సొమ్మును పొదుపు చేసుకునేందుకు అక్రమ మార్గాలను అన్వేషిస్తున్నారు
"একটাই অনুরোধ, নিজেদের অন্যায্য স্বার্থ পূরণের জন্য গরীবমানুষগুলিকে নিয়ে খেলবেন না।","लेकिन, मेहरबानी करके आप ग़रीबों की ज़िंदगी के साथ मत खेलिए",కానీ దయచేసి పేదల జీవితాలతో ఆడుకోకండి
"আপনাদের অন্যায় উপার্জন গরীব মানুষের রেকর্ডে জুড়েদিচ্ছেন, তদন্তের পর আপনি নয়, এই গরীব মানুষগুলো ফেঁসে যাবে, ওরা কষ্ট ভোগ করবে।","आप ऐसा कुछ न करें कि record पर ग़रीब का नाम आ जाए और बाद में जब जाच हो, तब मेरा प्यारा ग़रीब आपके पाप के कारण मुसीबत में फस जाए","ఆ పేదవాడి పేరు రికార్డుల్లో కనిపించి, తర్వాత విచారణ జరిగేటప్పుడు, నీ పాపం వల్ల నా ప్రియమైన పేదవాడు ఇబ్బందుల్లో పడ్డాడని మీరు ఏమీ చేయకూడదు."
"বেনামীসম্পত্তিকে আওতায় আনার জন্য অত্যন্ত কঠোর নিয়মকানুন বানানো হয়েছে, যেগুলি সবক্ষেত্রে বাস্তবায়িত করা হচ্ছে।","और बेनामी संपत्ति का इतना कठोर क़ानून बना है, जो इसमें लागू हो रहा है, कितनी कठिनाई आएगी",మరి బినామీ ఆస్తుల కోసం ఇంత కఠిన చట్టం చేసి అమలుచేస్తే ఎంతటి ఇబ్బందులు ఎదురవుతాయి
"আমি মধ্যপ্রদেশের জেলাহরদা, তহশীল ও গ্রাম তিরালির এক সাধারণ নাগরিক।","मैं ग्राम तिराली, तहसील तिराली, ज़िला हरदा, मध्य प्रदेश का एक आम नागरिक हू","నేను మధ్యప్రదేశ్‌లోని హర్దా జిల్లా తిరాలి, తహసీల్ తిరాలి గ్రామానికి చెందిన సాధారణ పౌరుడిని"
আপনার এই পাঁচশো-হাজারের নোট বন্ধকরার পদক্ষেপ অত্যন্ত প্রশংসনীয়।,"आप के द्वारा जो मुद्रा हज़ार-पाच सौ के नोट बंद किए गए हैं, यह बहुत ही सराहनीय है","మీరు వెయ్యి, ఐదు వందల రూపాయల నోట్లను నిషేధించిన తీరు చాలా అభినందనీయం."
