bn,hi,te,emotion_bn,emotion_hi,emotion_te,semantic_bn_hi,semantic_bn_te,semantic_hi_te
"কিন্তু আমার প্রিয় তরুণবন্ধুরা, আমি আবার একবার বলছি, এই কাজে আপনাদের সাহায্য প্রয়োজন আমার এবং আমারবিশ্বাস, আপনারা, দেশের কোটি কোটি তরুণ এই কাজ করবেন।","लेकिन मेरे प्यारे नौजवान मित्रो, मैं फिर एक बार कहता हू, मुझे इस काम में आपकी मदद चाहिए","కానీ నా ప్రియమైన యువ మిత్రులారా, నేను మరోసారి చెబుతున్నాను, ఈ పనిలో నాకు మీ సహాయం కావాలి",0,1,1,0.848665714263916,0.840811550617218,0.9815149903297424
দোকানদারকেও শেখান কীভাবে ব্যবসা করা যায়।,दुकानदार को भी सिखाइये कि कैसे व्यापार किया जा सकता है ?,అలాగే దుకాణదారునికి వ్యాపారం ఎలా చేయాలో నేర్పించాలా?,1,2,2,0.9480929374694824,0.8878130912780762,0.9338454008102417
"আপনিস্বেচ্ছায় এই ‘ক্যাশলেস সোসাইটি’-তে প্রবেশের, এই নোটের চক্কর থেকে সমাজকে বের করেআনার যে মহা-অভিযান, দেশকে দুর্নীতিমুক্ত করার যে অভিযান, কালো টাকা থেকে মুক্তিপাওয়ানোর যে অভিযান, মানুষকে দুর্দশা আর সমস্যা থেকে মুক্ত করার যে অভিযান – তারনেতৃত্ব দিতে হবে আপনাকে।","आप स्वेच्छा से इस cashless society, इन नोटों के चक्कर से बाहर लाने का महाभियान, देश को भ्रष्टाचार मुक्त करने का अभियान, काला-धन से मुक्ति दिलाने का अभियान, लोगों को कठिनाइयों-समस्याओं से मुक्त करने का अभियान - इसका नेतृत्व करना है आपको","నగదు రహిత సమాజం, ఈ నోట్ల బారి నుంచి బయటపడే ప్రచారం, అవినీతి రహిత దేశంగా మార్చే ప్రచారం, నల్లధనం వెలికితీత ప్రచారం, ప్రజలను కష్టాలు, సమస్యల నుంచి విముక్తి చేసే ప్రచారానికి మీరు స్వచ్ఛందంగా నాయకత్వం వహించాలి.",2,0,2,0.8156919479370117,0.7619209885597229,0.9115622639656067
এক বড় বিপ্লব ঘটিয়েছে এই দেশ।,एक बड़ी क्रांति की है इस देश ने,ఈ దేశంలో గొప్ప విప్లవం వచ్చింది,0,0,0,0.9054725170135498,0.8394042253494263,0.9088729619979858
"আমার তরুণরা, আমি ফের একবার,আবারও একবার প্রবল আগ্রহ নিয়ে আপনাদের বলছি যে আপনারা এই অভিযানকে এগিয়ে নিয়েচলুন।","मेरे नौजवानो, मैं फिर एक बार, फिर एक बार बड़े आग्रह से आपको कहता हू कि आप इस अभियान को आगे बढ़ाइए","నా యువకులారా, ఈ ప్రచారాన్ని ముందుకు తీసుకెళ్లాలని నేను మరోసారి, మరోసారి గట్టిగా కోరుతున్నాను",0,2,0,0.9247106313705444,0.8463999032974243,0.9046006202697754
আপনারা দেখেছেন যে এই সময়ের সবথেকে জনপ্রিয়শিল্পী অমিতাভ-জী স্বচ্ছতা অভিযানকে খুব পরিশ্রম করে এগিয়ে নিয়ে যাচ্ছেন।,"आपने देखा होगा, इस सदी के सर्वाधिक लोकप्रिय कलाकार अमिताभ जी स्वच्छता के अभियान को बहुत जी-जान से आगे बढ़ा रहे हैं","ఈ శతాబ్దపు అత్యంత ప్రజాదరణ పొందిన నటుడు, అమితాబ్ జీ తన హృదయంతో మరియు ఆత్మతో స్వచ్ఛత ప్రచారాన్ని ప్రోత్సహిస్తున్నారని మీరు తప్పక చూసి ఉంటారు.",0,0,0,0.8525226712226868,0.7501401901245117,0.8066496253013611
"আমার প্রিয় দেশবাসী, এখন তো ‘মনকী বাত’-এর মাধ্যমে আপনাদের চিন্তা, আপনাদের ভাবনা পত্রের মাধ্যমে, ‘মাই গভ’-এ,‘নরেন্দ্র মোদী অ্যাপ’-এ পৌঁছচ্ছে আর আপনাদের সঙ্গে জুড়ে রাখছে আমাকে।","मेरे प्यारे देशवासियो, अब तो मन की बात के माध्यम से आपके विचार, आपकी भावनायें आपके पत्रों के माध्यम से, MyGov पर, NarendraModiApp पर लगातार मुझे आपको जोड़ करके रखती हैं","నా ప్రియమైన దేశప్రజలారా, ఇప్పుడు మన్ కీ బాత్ ద్వారా, మీ ఉత్తరాల ద్వారా, MyGovలో, నరేంద్రమోడీయాప్‌లో మీ ఆలోచనలు మరియు భావాలు నన్ను మీతో నిరంతరం కనెక్ట్ చేస్తూ ఉంటాయి.",0,0,0,0.8613189458847046,0.855067789554596,0.9335733652114868
এখন তো বেলাএগারোটার সময় ‘মন কি বাত’ প্রচারিত হয় কিন্তু এই সম্প্রচার শেষ হওয়ার পর পরইপ্রাদেশিক ভাষায় এটা শোনানোর ব্যবস্থা শুরু হতে চলেছে।,"अब तो 11 बजे ये मन की बात होती है, लेकिन प्रादेशिक भाषाओं में इसे पूरा करने के तुरंत बाद शुरू करने वाले हैं","ఇప్పుడు, ఈ మన్ కీ బాత్ 11 గంటలకు ప్రసారం చేయబడుతుంది, కానీ అది ముగిసిన వెంటనే ప్రాంతీయ భాషలలో ప్రసారం చేయబడుతుంది.",2,0,2,0.7178048491477966,0.7795061469078064,0.8223401308059692
ভারতের প্রতিটি কোণে কোণে উৎসাহ ও উদ্দীপনার সঙ্গে দীপাবলীর উৎসব পালনকরা হয়।,भारत के हर कोने में उत्साह और उमंग के साथ दीपावली का पर्व मनाया जाता है।,దీపావళి పండుగ భారతదేశంలోని ప్రతి మూలలో ఉత్సాహంతో మరియు ఆనందంతో జరుపుకుంటారు.,0,0,0,0.9320998191833496,0.9132562875747681,0.9590511918067932
"ভারত এমনই এক দেশ, যেখানে ৩৬৫ দিন ধরে দেশের কোনও না কোনও অংশে কোনও নাকোনও উৎসব চোখে পড়ে।","भारत एक ऐसा देश है कि 365 दिन, देश के किसी-न-किसी कोने में, कोई-न-कोई उत्सव नज़र आता है।","భారతదేశం అటువంటి దేశం, మొత్తం 365 రోజులు, ఏదో ఒక పండుగ లేదా మరొకటి దేశంలోని ఏదో ఒక మూలలో కనిపిస్తుంది.",1,0,0,0.890039324760437,0.8125563263893127,0.9361674785614014
"কিন্তু এই সবকিছুমধ্যে আমরা একটা বিষয় ভালোভাবে দেখতে সক্ষম যে ভারতে এই যে সারাবছর ধরে উৎসবেরপুরো যাত্রাপথ, তার ব্যপ্তি, তার গভীরতা, প্রতিটি ব্যক্তির ওপর তার প্রভাব – এইসবকিছু একটিই মূল মন্ত্রের সঙ্গে যুক্ত – ব্যক্তিকে সমষ্টির দিকে এগিয়ে নিয়ে যাওয়া।","लेकिन इन सबमें एक बात हम भली-भाति देख सकते हैं कि भारत के उत्सवों की ये पूरी यात्रा, उसका व्याप, उसकी गहराई, जन-जन में उसकी पैठ, एक मूल-मन्त्र से जुड़ी हुई है  स्व को समष्टि की ओर ले जाना।","కానీ వీటన్నింటిలో మనం ఒక విషయం స్పష్టంగా చూడగలం, భారతీయ పండుగల ఈ మొత్తం ప్రయాణం, దాని విస్తీర్ణం, దాని లోతు, ప్రజలలో దాని చొచ్చుకుపోవడం, ఒక ప్రాథమిక మంత్రంతో అనుసంధానించబడి ఉంది - ఆత్మను సమిష్టి వైపుకు తీసుకెళ్లడం.",0,0,0,0.9109621644020081,0.8906402587890625,0.9382684230804443
"ব্যক্তি ও ব্যক্তিত্বের প্রসার ঘটিয়ে, নিজেদের সীমিত চিন্তা-ভাবনার গণ্ডি পেরিয়েসমাজ থেকে মহাবিশ্ব পর্যন্ত বিস্তৃত করার এক প্রয়াস চলতেই থাকে।","व्यक्ति और व्यक्तित्व का विस्तार हो, अपने सीमित सोच के दायरे को, समाज से ब्रह्माण्ड तक विस्तृत करने का प्रयास हो और ये उत्सवों के माध्यम से करना।","వ్యక్తిత్వం మరియు వ్యక్తిత్వం యొక్క విస్తరణ ఉండాలి, ఒకరి పరిమిత ఆలోచన యొక్క పరిధిని సమాజం నుండి విశ్వం వరకు విస్తరించే ప్రయత్నం ఉండాలి మరియు ఇది పండుగల ద్వారా జరగాలి.",0,0,0,0.8067837953567505,0.7433737516403198,0.8915687203407288
প্রকৃতি ধ্বংস হয়ে যাওয়া এক চিন্তার বিষয় হয়েউঠেছে।,प्रकृति-विनाश चिंता का विषय बना है।,ప్రకృతి విధ్వంసం ఆందోళన కలిగించే అంశంగా మారింది.,1,3,3,0.8434750437736511,0.8146440386772156,0.8926340937614441
সেখানে ভারতবর্ষে উৎসবের এই পরম্পরা প্রকৃতি-প্রেমকে আরও শক্তিশালী করেতোলে। বালক থেকে শুরু করে প্রতিটি মানুষকে আরও শুভচিন্তাসম্পন্ন করে তোলে।,"भारत की उत्सव परम्परा, प्रकृति-प्रेम को बलवान बनाने वाली, बालक से लेकर के हर व्यक्ति को संस्कारित करने वाली रही है।",భారతదేశపు పండుగల సంప్రదాయం ప్రకృతి పట్ల ప్రేమను బలపరుస్తుంది మరియు పిల్లల నుండి పెద్దల వరకు ప్రతి వ్యక్తిలో విలువలను పెంపొందిస్తుంది.,0,0,0,0.759727954864502,0.7101200819015503,0.8866729736328125
অর্থাৎ এখন পর্যন্ত আমাদের এখানে ছুটিও মহাবিশ্বের সঙ্গে বিজ্ঞানকে যুক্ত করে পালনকরার এক পরম্পরা রয়ে গেছে।,यानि यहा तक हमारे यहा छुट्टी भी ब्रह्माण्ड और विज्ञान के साथ जोड़ करके मनाने की परम्परा विकसित हुई थी।,"అంటే, ఇక్కడ కూడా సెలవులను విశ్వం మరియు సైన్స్‌తో అనుసంధానించడం ద్వారా జరుపుకునే సంప్రదాయం అభివృద్ధి చెందింది.",0,0,0,0.8623392581939697,0.8071614503860474,0.9109671115875244
"আজ যখন আমরা দীপাবলী উৎসব পালন করছি, যেমন আমি বললাম,আমাদের প্রতিটি উৎসব শিক্ষামূলক হয়, শিক্ষার বোধ নিয়ে আসে।","आज जब हम दीपावली का पर्व मनाते हैं तब, जैसा मैंने कहा, हमारा हर पर्व एक शिक्षादायक होता है, शिक्षा का बोध लेकर के आता है।","ఈరోజు మనం దీపావళి పండుగను జరుపుకుంటున్నప్పుడు, నేను చెప్పినట్లు, మన ప్రతి పండుగ విద్యను కలిగి ఉంటుంది, దానితో పాటు విద్య యొక్క పాఠం వస్తుంది.",0,0,0,0.9655698537826538,0.9275333881378174,0.9437031149864197
"সামাজিক দোষত্রুটির – ব্যক্তিগত দোষত্রুটির ছায়াথেকে প্রদীপ জ্বালিয়ে মুক্তির, অন্ধকার থেকে আলোয় পৌঁছনোর উৎসব দীপাবলী।","दीपावली का दिया जला कर के, समाज दोष-रूपी जो अन्धकार छाया हुआ है, व्यक्ति दोष-रूपी जो अन्धकार छाया हुआ है, उससे भी मुक्ति और वही तो दिवाली का दिया जला कर के, प्रकाश पहुचाने का पर्व बनता है।","దీపావళి దీపం వెలిగించడం ద్వారా, సామాజిక లోపాల నుండి మరియు వ్యక్తి దోషాల చీకటి నుండి విముక్తి పొందుతారు మరియు దీపావళి దీపం వెలిగించడం ద్వారా కాంతిని పంచే పండుగ జరుపుకుంటారు.",0,0,0,0.771782398223877,0.7813373804092407,0.835658073425293
"একটা কথাআমরা সবাই ভালো করেই জানি, ভারতবর্ষের যে কোনও প্রান্তে চলে যান, ধনীর থেকে ধনীরঘর কিংবা গরীবস্য গরীবের ঝুপড়ি দীপাবলীর সময় প্রতি পরিবারে স্বচ্ছতা অভিযান চলছেদেখা যায়।","एक बात हम सब भली-भांति जानते हैं, हिन्दुस्तान के किसी भी कोने में चले जाइए, अमीर-से-अमीर के घर में चले जाइए, ग़रीब-से-ग़रीब की झोपड़ी में चले जाइए, दिवाली के त्योहार में, हर परिवार में स्वच्छता का अभियान चलता दिखता है।","మనందరికీ ఒక విషయం బాగా తెలుసు, భారతదేశంలోని ఏ మూలకు వెళ్లినా, సంపన్నుల ఇంటికి వెళ్లి, పేదలలోని పేదవారి గుడిసెకు వెళ్లండి, దీపావళి పండుగ సందర్భంగా ప్రతి కుటుంబంలో క్లీన్‌నెస్ డ్రైవ్ కొనసాగడం కనిపిస్తుంది.",1,0,3,0.8605563044548035,0.8534080982208252,0.9147083163261414
ঘরের প্রতিটি কোণ পরিষ্কার পরিচ্ছন্ন করা হয়।,घर के हर कोने की सफ़ाई होती है।,ఇంట్లోని ప్రతి మూలను శుభ్రం చేస్తారు.,0,0,0,0.8195070624351501,0.9142960906028748,0.8487727642059326
"পৃথিবীর যে কোন জায়গার সরকার, সেখানকার সংসদ, শাসক – সবাইদীপাবলী উৎসবের অংশ হয়ে ওঠেন।","दुनिया की कई सरकारें भी, वहा की संसद भी, वहा के शासक भी, दीपावली के पर्व के हिस्से बनते जा रहे हैं।","ప్రపంచంలోని అనేక ప్రభుత్వాలు, వాటి పార్లమెంట్‌లు, పాలకులు కూడా దీపావళి పండుగలో భాగమవుతున్నారు.",0,0,0,0.8255630731582642,0.7916612029075623,0.9404082298278809
সিঙ্গাপুরের প্রধানমন্ত্রী ইনস্টাগ্রামের মাধ্যমে দীপাবলী উৎসব পালনের ছবি অত্যন্তগর্বের সঙ্গে সারা বিশ্বের সঙ্গে শেয়ার করেছেন।,nstagram पर तस्वीर रखी है और उस तस्वीर को उन्होंने दुनिया के साथ share किया है और बड़े गौरव के साथ किया है।,అతను చిత్రాన్ని ఇన్‌స్టాగ్రామ్‌లో పోస్ట్ చేశాడు మరియు ఆ చిత్రాన్ని ప్రపంచంతో పంచుకున్నాడు మరియు చాలా గర్వంగా చేశాడు.,0,0,0,0.6793713569641113,0.7236257791519165,0.876987099647522
সিঙ্গাপুর সংসদের১৬ জন মহিলা সদস্য ভারতীয় শাড়ি পরে সংসদের বাইরে দাঁড়িয়ে ছবি তুলেছেন আর সেই ছবিসোশ্যাল নেটওয়ার্কিং সাইটে ছড়িয়ে পড়েছে।,Singapore Parliament की 16 महिला MPs भारतीय साड़ी पहन करके Parliament के बाहर खड़ी हैं और ये photo viral हुई है।,సింగపూర్ పార్లమెంట్‌కు చెందిన 16 మంది మహిళా ఎంపీలు భారతీయ చీరలు ధరించి పార్లమెంట్ వెలుపల నిలబడి ఉన్న ఈ ఫోటో వైరల్‌గా మారింది.,0,3,0,0.8873558044433594,0.8672375679016113,0.9614968299865723
আর এই সব করা হয়েছে দীপাবলীর জন্য।,और ये सब दिवाली के निमित्त किया गया हैI,మరియు ఇదంతా దీపావళికి జరిగింది.,2,0,0,0.8755596280097961,0.8282805681228638,0.874382734298706
"দীপাবলীর সময় দুর্ঘটনার খবর, আগুন লেগেযাওয়ার খবর, অপমৃত্যুর খবর খুব দুশ্চিন্তা জাগায়।","दीपावली के दिनों में अकस्मात की ख़बरें, आग की ख़बरें, अपमृत्यु की ख़बरें, बड़ी चिंता कराती हैं।","దీపావళి సందర్భంగా ప్రమాదాల వార్తలు, అగ్నిప్రమాదాలు, అకాల మరణాల వార్తలు తీవ్ర ఆందోళనకు గురిచేస్తాయి.",1,3,3,0.9207334518432617,0.8876376152038574,0.8953667879104614
আর এক অসুবিধা হয় দীপাবলীর সময় –ডাক্তারবাবুরা অনেকেই দীপাবলীতে পরিবারের সকলের সঙ্গে দীপাবলী উৎসব পালন করার জন্যবাড়ি চলে যান।,"और एक मुसीबत ये भी हो जाती है कि दिवाली के दिनों में डॉक्टर भी बड़ी संख्या में अपने परिवार के साथ दिवाली मनाने चले गए होते हैं, तो संकट में और एक संकट जुड़ जाता है।","మరొక సమస్య ఏమిటంటే, దీపావళి సమయంలో, పెద్ద సంఖ్యలో వైద్యులు తమ కుటుంబాలతో కలిసి దీపావళి జరుపుకోవడానికి వెళతారు; అందువలన, సమస్యకు మరొక సమస్య జోడించబడుతుంది.",0,1,1,0.7973300218582153,0.8364803791046143,0.8878600001335144
"তা খালিএকদিনের নয়, গোবর্ধন পূজা, ভাইফোঁটা, লাভ-পঞ্চমী থেকে কার্তিক-পূর্ণিমা পর্যন্তদীর্ঘদিন ধরে তা চলে।","वो गोवर्धन पूजा कहो, भाई दूज कहो, लाभ पंचमी कहो, और कार्तिक पूर्णिमा के प्रकाश-पर्व तक ले जाइए, तो एक प्रकार से एक लंबे कालखंड चलता है।","దీనిని గోవర్ధన్ పూజ, భాయ్ దూజ్, లభ పంచమి అని పిలువండి మరియు కార్తీక పూర్ణిమ యొక్క కాంతి పండుగ వరకు తీసుకోండి, ఒక విధంగా ఇది చాలా కాలం పాటు ఉంటుంది.",0,0,0,0.6572936773300171,0.6623971462249756,0.8664650917053223
প্রবাদ আছে যে বিশ্বের সমস্ত মানুষউদিত সূর্যের পূজা করেন।,"लेकिन कहावत तो ये हो जाती है कि भई, दुनिया में लोग उगते सूरज की पूजा करते हैं।",అయితే ఈ లోకంలో ప్రజలు ఉదయించే సూర్యుడిని ఆరాధిస్తారనేది సామెత.,0,0,0,0.769338071346283,0.7977516651153564,0.880257785320282
ছট পূজা এক এমন উৎসব যেখানে অস্তগামী সূর্যেরও পূজা হয়।,"छठ-पूजा एक ऐसा उत्सव है, जिसमें ढलते सूरज की भी पूजा होती है।",ఛత్ పూజ అనేది అస్తమించే సూర్యుడిని కూడా పూజించే పండుగ.,0,0,0,0.8792184591293335,0.8803821206092834,0.8866038918495178
এর মধ্যে একটি খুব বড় সামাজিক বার্তা আছে।,एक बहुत बड़ा सामाजिक संदेश है उसमें ।,ఇందులో భారీ సామాజిక సందేశం ఉంది.,0,0,0,0.9548900127410889,0.9330768585205078,0.9585031270980835
"আমি দীপাবলী উৎসবের কথা বলি, ছট পুজোর কথা বলি, এই উপলক্ষ্যেআপনাদের সবাইকে অনেক অনেক শুভকামনা জানানোর, বিশেষ করে দেশবাসীকে ধন্যবাদ জানানোর,কৃতজ্ঞতা ব্যক্ত করার সময় এটাই।","मैं दीपावली के पर्व की बात कहू, छठ-पूजा की बात कहू - ये समय है आप सबको बहुत-बहुत शुभकामनायें देने का, लेकिन साथ-साथ मेरे लिये समय और भी है, ख़ासकर के देशवासियों का धन्यवाद करना है, आभार व्यक्त करना है।","నేను దీపావళి పండుగ గురించి మాట్లాడినా లేదా ఛత్ పూజ గురించి మాట్లాడినా, మీ అందరికీ నా శుభాకాంక్షలను తెలియజేయడానికి ఇది సమయం, కానీ అదే సమయంలో, నా దేశప్రజలకు కృతజ్ఞతలు తెలియజేయడానికి, నా కృతజ్ఞతలు తెలియజేయడానికి నాకు మరొక సమయం కూడా ఉంది.",0,0,0,0.8709286451339722,0.8071750402450562,0.8871057629585266
"গত কয়েক মাসে, যে সব ঘটনা ঘটেছে, আমাদেরসুখনিদ্রার জন্য আমাদের সেনাবাহিনীর প্রতিটি জওয়ান নিজেদের সব কিছু ত্যাগ করেছেন।","पिछले कुछ महीनों से, जो घटनायें आकार ले रही हैं, हमारे सुख-चैन के लिये हमारे सेना के जवान अपना सब कुछ लुटा रहे हैं।","గత కొన్ని నెలలుగా రూపుదిద్దుకుంటున్న సంఘటనలు, మన శాంతి, సంతోషం కోసం మన సైనికులు సర్వస్వం త్యాగం చేస్తున్నారు.",1,1,0,0.8601182699203491,0.8311333656311035,0.9062418341636658
"আমারমনোজগতে সেনা জওয়ান – সুরক্ষা বাহিনীর জওয়ানদের ত্যাগ, সাধনা, পরিশ্রম এক বিশেষপ্রভাব ফেলেছে।","मेरे भाव-विश्व पर सेना के जवानों की, सुरक्षा बलों के जवानों की, ये त्याग, तपस्या, परिश्रम, मेरे दिल-दिमाग पर छाया हुआ रहता है।","సైన్యం మరియు భద్రతా దళాల సైనికుల త్యాగం, తపస్సు మరియు కృషి నా మనస్సు మరియు హృదయంలో నిలిచిపోయాయి.",0,1,1,0.753380298614502,0.6975128650665283,0.8605329990386963
আর এজন্যই আমার মনে হয়েছে যে এই দীপাবলী সুরক্ষা বাহিনীর নামেঅর্পণ করার কথা।,और उसी में से एक बात मन में कर गई थी कि यह दिवाली सुरक्षा बलों के नाम पर समर्पित हो।,"మరియు నాకు గుర్తుకు వచ్చిన ఒక విషయం ఏమిటంటే, ఈ దీపావళిని భద్రతా దళాలకు అంకితం చేయాలి.",3,1,2,0.6981052160263062,0.6843845844268799,0.8398427367210388
আমি দেশবাসীকে আহ্বান করেছি ‘সন্দেশ টু সোলজারস্‌’ নামে একঅভিযানে অংশ নেওয়ার জন্য।,मैंने देशवासियों को Sandesh to Soldiers एक अभियान के लिए निमंत्रित किया।,నేను సైనికులకు సందేశం అనే ప్రచారానికి దేశప్రజలను ఆహ్వానించాను.,0,0,0,0.8325520753860474,0.7095298767089844,0.8439514636993408
"কিন্তু আজ আমি মাথা নত করে বলতে চাই যে ভারতবর্ষে এমনকোনো মানুষ নেই, যাঁর মনে দেশের সৈন্যবাহিনীর জন্য অপরিসীম ভালোবাসা নেই,সেনাবাহিনী নিয়ে গর্ব, প্রতিরক্ষা বাহিনী নিয়ে গর্ব নেই।","लेकिन मैं आज सिर झुका कर के कहना चाहता हू, हिंदुस्तान का कोई ऐसा इन्सान नहीं होगा, जिसके दिल में देश के जवानों के प्रति जो अप्रतिम प्यार है, सेना के प्रति गौरव है, सुरक्षा-बलों के प्रति गौरव है।","కానీ ఈరోజు నేను తల వంచుకుని చెప్పాలనుకుంటున్నాను, దేశంలోని సైనికుల పట్ల అపారమైన ప్రేమ, సైన్యం పట్ల గర్వం, భద్రతా దళాల పట్ల గర్వం గుండెల్లో ఉండే ఒక్క వ్యక్తి కూడా భారతదేశంలో ఉండడు.",1,0,1,0.9255715608596802,0.9492034316062927,0.9399241209030151
যেভাবে মানুষ তা প্রকাশকরেছেন তা দেশবাসীকে আরও শক্তি দেবে।,"जिस प्रकार से उसकी अभिव्यक्ति हुई है, ये हर देशवासी को ताक़त देने वाली है।",దాన్ని వ్యక్తీకరించిన తీరు దేశంలోని ప్రతి పౌరునికి బలాన్నిస్తుంది.,1,2,0,0.6738847494125366,0.7501832842826843,0.8421931266784668
"সুরক্ষা বাহিনীর জওয়ানদের ক্ষেত্রে তো আমরাকল্পনাই করতে পারি না, আপনাদের একটি বার্তা তাঁদের কতটা শক্তি দেয়।","सुरक्षा-बल के जवानों को तो हम कल्पना नहीं कर सकते, इतना हौसला बुलंद करने वाला, आपका एक संदेश ताक़त के रूप में प्रकट हुआ है।",మీ సందేశం భద్రతా దళాలకు చాలా ప్రోత్సాహకరంగా ఉందని మేము ఊహించలేము; అది బలం యొక్క మూలంగా కనిపించింది.,2,0,0,0.7912073731422424,0.6592799425125122,0.7744260430335999
"হোক, ইন্দো-টিবেটান পুলিশ হোক, আসাম রাইফেল্‌স হোক, নৌবাহিনী, পদাতিকবাহিনী বা বায়ুসেনা হোক, বা কোস্ট গার্ড, আমি সবার নাম বলতে পারছি না, অগুনতি –আমাদের জওয়ানরা কী কী ধরনের কষ্ট সহ্য করেন তা ধারণার বাইরে।","ndo-Tibetan Police हो, Assam Riles हो, जल-सेना हो, थल-सेना हो, नभ-सेना हो, oast Guard हो, मैं सब के नाम बोल नहीं पाता हू, अनगिनत।","ఇండో-టిబెటన్ పోలీసులు, అస్సాం రైల్స్, నేవీ, ఆర్మీ, వైమానిక దళం, కోస్ట్ గార్డ్ ఇలా అన్నింటిని నేను పేర్కొనలేను, వారు లెక్కలేనన్ని ఉన్నారు.",1,2,2,0.8065339922904968,0.8450297713279724,0.8117721676826477
আমি সত্যি সত্যি দেশবাসীরপ্রতি কৃতজ্ঞতা প্রকাশ করতে চাই।,मैं सचमुच में देशवासियों का आभार प्रकट करता हू।,దేశప్రజలకు నిజంగా నా కృతజ్ఞతలు తెలియజేస్తున్నాను.,0,0,1,0.9139047861099243,0.8880943059921265,0.9607017040252686
"‘সন্দেশ টু সোলজারস্‌’ –এই হ্যাশট্যাগে কতরকম বার্তা, কতরকম ভাবে যে এসেছে।","Sandesh to Soldiers इस ashtag पर इतनी सारी चीज़ें-इतनी सारी चीज़ें आई हैं, प्रतीकात्मक रूप में।",సైనికులకు సందేశం - చాలా విషయాలు - చాలా విషయాలు ఈ హ్యాష్‌ట్యాగ్‌లో ప్రతీకాత్మకంగా వచ్చాయి.,0,0,0,0.6354005336761475,0.5958027839660645,0.7855745553970337
"শ্রীমান অশ্বিনী কুমার চৌহান একটি কবিতাপাঠিয়েছেন, আমি সেটি পড়ে শোনাতে চাই।","मैं श्रीमान अश्विनी कुमार चौहान ने एक कविता भेजी है, उसे पढ़ना पसंद करूगाI","నేను, శ్రీ అశ్విని కుమార్ చౌహాన్ ఒక కవిత పంపాము, నేను దానిని చదవాలనుకుంటున్నాను.",0,0,0,0.8803776502609253,0.9308161735534668,0.9237979650497437
"” আমার প্রিয় দেশবাসী,যাঁর বাপের বাড়ি এবং শ্বশুরবাড়ি – দুটি পরিবারের অনেকেই সেনাবাহিনীতে কর্মরত, এমনইএক বোন, শিবানী আমাকে একটি টেলিফোন মেসেজ পাঠিয়েছেন।","मेरे प्यारे देशवासियो, जिसका मायका भी सेना के जवानों से भरा हुआ है और जिसका ससुराल भी सेना के जवानों से भरा हुआ है, ऐसी एक बहन शिवानी ने मुझे एक टेलीफोन message दिया।","నా ప్రియమైన దేశప్రజలు, శివాని అనే సోదరి, ఆమె తల్లి ఇంటి నిండా ఆర్మీ సైనికులు మరియు అత్తమామల ఇల్లు కూడా ఆర్మీ సైనికులతో నిండి ఉంది, నాకు టెలిఫోన్ సందేశం ఇచ్చింది.",0,0,0,0.8062834739685059,0.7823208570480347,0.8664946556091309
"আসুন এই সৈনিক পরিবারটি কীবলছে শুনি – “নমস্কারপ্রধানমন্ত্রীজী, আমি শিবানী মোহন বলছি।","आइए, हम सुनते हैं, फ़ौजी परिवार क्या कहता है: - नमस्कार प्रधानमंत्री जी, मैं शिवानी मोहन बोल रही हू।","ఆర్మీ కుటుంబం ఏం చెబుతుందో విందాం: - హలో ప్రైమ్ మినిస్టర్, నేను శివాని మోహన్.",2,0,0,0.8578314781188965,0.8317729234695435,0.862260639667511
"এই দীপাবলীতে যে ‘সন্দেশ টু সোলজার্‌স’অভিযান শুরু হয়েছে, তাতে আমাদের ফৌজি ভাইয়েরা বিশেষ উৎসাহ পেয়েছেন।","इस दीपावली पर जो Sandesh to Soldiers अभियान शुरू किया गया है, उससे हमारे फ़ौजी भाइयों को बहुत ही प्रोत्साहन मिल रहा है।",ఈ దీపావళికి ప్రారంభించిన మెసేజ్ టు సోల్జర్స్ క్యాంపెయిన్ మన సైనిక సోదరులకు ఎంతో ప్రోత్సాహాన్ని అందిస్తోంది.,0,0,0,0.7443895936012268,0.6777360439300537,0.8557261228561401
আমার পরিবারএকটি সৈনিক পরিবার।,मैं एक Army amily से हू।,నేను ఆర్మీ కుటుంబానికి చెందినవాడిని.,0,0,0,0.6783449649810791,0.8400024771690369,0.849894642829895
আমার স্বামী একজন আর্মি অফিসার।,मेरे पति भी Army ऑफिसर हैं।,నా భర్త కూడా ఆర్మీ అధికారి.,0,0,0,0.9180877804756165,0.9297544956207275,0.9812033772468567
আমার বাবা এবং শ্বশুরমশাইদু’জনেই আর্মি অফিসার ছিলেন।,"मेरे ather और ather-in-law, दोनों Army icers रह चुके हैं।","నా పెద్దాయన, అత్తయ్య ఇద్దరూ ఆర్మీ అధికారులు.",0,1,0,0.7075204849243164,0.886338472366333,0.723639726638794
"আমি বলতে চাই যে,আর্মি অফিসার এবং সৈনিকদের সঙ্গে তাঁদের পত্নী এবং গোটা পরিবারকেই যথেষ্ট ত্যাগস্বীকার করতে হয়।","और मैं कहना चाहूगी कि Army icers और Soldiers के साथ उनके परिवार, उनकी पत्निया भी काफ़ी sacriices करती हैं।","సైనికులు మరియు సైనికులతో పాటు, వారి కుటుంబాలు మరియు వారి భార్యలు కూడా చాలా త్యాగాలు చేస్తారని నేను చెప్పాలనుకుంటున్నాను.",2,1,1,0.8414903879165649,0.8585659265518188,0.8978074789047241
